Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
3.940991, 0.000053, -0.000098 ,0.000005
3.940171, 0.000053, -0.000098 ,0.000005
3.939351, 0.000053, -0.000097 ,0.000006
3.938531, 0.000052, -0.000097 ,0.000006
3.937711, 0.000052, -0.000097 ,0.000006
3.936891, 0.000052, -0.000096 ,0.000006
3.936072, 0.000052, -0.000096 ,0.000006
3.935253, 0.000052, -0.000095 ,0.000007
3.934435, 0.000051, -0.000095 ,0.000007
3.933617, 0.000051, -0.000095 ,0.000007
3.932799, 0.000051, -0.000094 ,0.000007
3.931982, 0.000051, -0.000094 ,0.000007
3.931166, 0.000051, -0.000094 ,0.000007
3.930350, 0.000050, -0.000093 ,0.000008
3.929534, 0.000050, -0.000093 ,0.000008
3.928719, 0.000050, -0.000092 ,0.000008
3.927905, 0.000050, -0.000092 ,0.000008
3.927091, 0.000050, -0.000092 ,0.000008
3.926278, 0.000049, -0.000091 ,0.000009
3.925466, 0.000049, -0.000091 ,0.000009
3.924654, 0.000049, -0.000091 ,0.000009
3.923844, 0.000049, -0.000090 ,0.000009
3.923034, 0.000049, -0.000090 ,0.000009
3.922225, 0.000048, -0.000089 ,0.000009
3.921416, 0.000048, -0.000089 ,0.000010
3.920609, 0.000048, -0.000089 ,0.000010
3.919803, 0.000048, -0.000088 ,0.000010
3.918997, 0.000048, -0.000088 ,0.000010
3.918192, 0.000047, -0.000087 ,0.000010
3.917389, 0.000047, -0.000087 ,0.000010
3.916586, 0.000047, -0.000087 ,0.000011
3.915784, 0.000047, -0.000086 ,0.000011
3.914984, 0.000047, -0.000086 ,0.000011
3.914185, 0.000046, -0.000085 ,0.000011
3.913387, 0.000046, -0.000085 ,0.000011
3.912590, 0.000046, -0.000085 ,0.000011
3.911793, 0.000046, -0.000084 ,0.000012
3.910999, 0.000046, -0.000084 ,0.000012
3.910205, 0.000045, -0.000083 ,0.000012
3.909413, 0.000045, -0.000083 ,0.000012
3.908622, 0.000045, -0.000083 ,0.000012
3.907833, 0.000045, -0.000082 ,0.000013
3.907044, 0.000045, -0.000082 ,0.000013
3.906257, 0.000044, -0.000081 ,0.000013
3.905472, 0.000044, -0.000081 ,0.000013
3.904688, 0.000044, -0.000081 ,0.000013
3.903905, 0.000044, -0.000080 ,0.000013
3.903124, 0.000043, -0.000080 ,0.000014
3.902345, 0.000043, -0.000079 ,0.000014
3.901566, 0.000043, -0.000079 ,0.000014
3.900790, 0.000043, -0.000078 ,0.000014
3.900015, 0.000043, -0.000078 ,0.000014
3.899242, 0.000042, -0.000078 ,0.000014
3.898470, 0.000042, -0.000077 ,0.000014
3.897700, 0.000042, -0.000077 ,0.000015
3.896931, 0.000042, -0.000076 ,0.000015
3.896165, 0.000041, -0.000076 ,0.000015
3.895400, 0.000041, -0.000076 ,0.000015
3.894637, 0.000041, -0.000075 ,0.000015
3.893875, 0.000041, -0.000075 ,0.000015
3.893116, 0.000040, -0.000074 ,0.000016
3.892358, 0.000040, -0.000074 ,0.000016
3.891603, 0.000040, -0.000073 ,0.000016
3.890848, 0.000040, -0.000073 ,0.000016
3.890097, 0.000040, -0.000073 ,0.000016
3.889347, 0.000039, -0.000072 ,0.000016
3.888598, 0.000039, -0.000072 ,0.000017
3.887852, 0.000039, -0.000071 ,0.000017
3.887108, 0.000039, -0.000071 ,0.000017
3.886366, 0.000038, -0.000070 ,0.000017
3.885626, 0.000038, -0.000070 ,0.000017
3.884888, 0.000038, -0.000069 ,0.000017
3.884152, 0.000038, -0.000069 ,0.000017
3.883419, 0.000037, -0.000069 ,0.000018
3.882687, 0.000037, -0.000068 ,0.000018
3.881958, 0.000037, -0.000068 ,0.000018
3.881230, 0.000037, -0.000067 ,0.000018
3.880505, 0.000036, -0.000067 ,0.000018
3.879783, 0.000036, -0.000066 ,0.000018
3.879062, 0.000036, -0.000066 ,0.000019
3.878344, 0.000036, -0.000065 ,0.000019
3.877628, 0.000036, -0.000065 ,0.000019
3.876915, 0.000035, -0.000065 ,0.000019
3.876203, 0.000035, -0.000064 ,0.000019
3.875495, 0.000035, -0.000064 ,0.000019
3.874788, 0.000035, -0.000063 ,0.000019
3.874085, 0.000034, -0.000063 ,0.000019
3.873383, 0.000034, -0.000062 ,0.000020
3.872684, 0.000034, -0.000062 ,0.000020
3.871987, 0.000034, -0.000061 ,0.000020
3.871294, 0.000033, -0.000061 ,0.000020
3.870602, 0.000033, -0.000060 ,0.000020
3.869913, 0.000033, -0.000060 ,0.000020
3.869227, 0.000033, -0.000059 ,0.000020
3.868543, 0.000032, -0.000059 ,0.000021
3.867862, 0.000032, -0.000059 ,0.000021
3.867183, 0.000032, -0.000058 ,0.000021
3.866508, 0.000031, -0.000058 ,0.000021
3.865834, 0.000031, -0.000057 ,0.000021
3.865164, 0.000031, -0.000057 ,0.000021
3.864496, 0.000031, -0.000056 ,0.000021
3.863831, 0.000030, -0.000056 ,0.000021
3.863169, 0.000030, -0.000055 ,0.000022
3.862509, 0.000030, -0.000055 ,0.000022
3.861853, 0.000030, -0.000054 ,0.000022
3.861199, 0.000029, -0.000054 ,0.000022
3.860548, 0.000029, -0.000053 ,0.000022
3.859900, 0.000029, -0.000053 ,0.000022
3.859255, 0.000029, -0.000052 ,0.000022
3.858612, 0.000028, -0.000052 ,0.000022
3.857973, 0.000028, -0.000051 ,0.000023
3.857337, 0.000028, -0.000051 ,0.000023
3.856703, 0.000028, -0.000050 ,0.000023
3.856072, 0.000027, -0.000050 ,0.000023
3.855445, 0.000027, -0.000049 ,0.000023
3.854820, 0.000027, -0.000049 ,0.000023
3.854198, 0.000026, -0.000048 ,0.000023
3.853580, 0.000026, -0.000048 ,0.000023
3.852964, 0.000026, -0.000047 ,0.000023
3.852352, 0.000026, -0.000047 ,0.000024
3.851743, 0.000025, -0.000046 ,0.000024
3.851136, 0.000025, -0.000046 ,0.000024
3.850533, 0.000025, -0.000045 ,0.000024
3.849933, 0.000025, -0.000045 ,0.000024
3.849336, 0.000024, -0.000044 ,0.000024
3.848743, 0.000024, -0.000044 ,0.000024
3.848153, 0.000024, -0.000043 ,0.000024
3.847566, 0.000023, -0.000043 ,0.000024
3.846982, 0.000023, -0.000042 ,0.000025
3.846400, 0.000023, -0.000042 ,0.000025
3.845823, 0.000023, -0.000041 ,0.000025
3.845249, 0.000022, -0.000041 ,0.000025
3.844678, 0.000022, -0.000040 ,0.000025
3.844110, 0.000022, -0.000040 ,0.000025
3.843546, 0.000021, -0.000039 ,0.000025
3.842985, 0.000021, -0.000039 ,0.000025
3.842427, 0.000021, -0.000038 ,0.000025
3.841874, 0.000021, -0.000038 ,0.000025
3.841322, 0.000020, -0.000037 ,0.000025
3.840775, 0.000020, -0.000037 ,0.000026
3.840231, 0.000020, -0.000036 ,0.000026
3.839690, 0.000020, -0.000036 ,0.000026
3.839153, 0.000019, -0.000035 ,0.000026
3.838619, 0.000019, -0.000035 ,0.000026
3.838089, 0.000019, -0.000034 ,0.000026
3.837562, 0.000018, -0.000034 ,0.000026
3.837039, 0.000018, -0.000033 ,0.000026
3.836519, 0.000018, -0.000033 ,0.000026
3.836003, 0.000017, -0.000032 ,0.000026
3.835490, 0.000017, -0.000032 ,0.000026
3.834981, 0.000017, -0.000031 ,0.000026
3.834475, 0.000017, -0.000031 ,0.000026
3.833973, 0.000016, -0.000030 ,0.000027
3.833474, 0.000016, -0.000030 ,0.000027
3.832979, 0.000016, -0.000029 ,0.000027
3.832487, 0.000015, -0.000029 ,0.000027
3.832000, 0.000015, -0.000028 ,0.000027
3.831516, 0.000015, -0.000027 ,0.000027
3.831035, 0.000015, -0.000027 ,0.000027
3.830559, 0.000014, -0.000026 ,0.000027
3.830085, 0.000014, -0.000026 ,0.000027
3.829615, 0.000014, -0.000025 ,0.000027
3.829150, 0.000013, -0.000025 ,0.000027
3.828687, 0.000013, -0.000024 ,0.000027
3.828229, 0.000013, -0.000024 ,0.000027
3.827774, 0.000012, -0.000023 ,0.000027
3.827323, 0.000012, -0.000023 ,0.000027
3.826876, 0.000012, -0.000022 ,0.000027
3.826432, 0.000012, -0.000022 ,0.000028
3.825992, 0.000011, -0.000021 ,0.000028
3.825556, 0.000011, -0.000021 ,0.000028
3.825124, 0.000011, -0.000020 ,0.000028
3.824695, 0.000010, -0.000019 ,0.000028
3.824270, 0.000010, -0.000019 ,0.000028
3.823849, 0.000010, -0.000018 ,0.000028
3.823432, 0.000010, -0.000018 ,0.000028
3.823018, 0.000009, -0.000017 ,0.000028
3.822609, 0.000009, -0.000017 ,0.000028
3.822203, 0.000009, -0.000016 ,0.000028
3.821801, 0.000008, -0.000016 ,0.000028
3.821403, 0.000008, -0.000015 ,0.000028
3.821008, 0.000008, -0.000015 ,0.000028
3.820618, 0.000007, -0.000014 ,0.000028
3.820231, 0.000007, -0.000014 ,0.000028
3.819848, 0.000007, -0.000013 ,0.000028
3.819469, 0.000006, -0.000012 ,0.000028
3.819094, 0.000006, -0.000012 ,0.000028
3.818723, 0.000006, -0.000011 ,0.000028
3.818356, 0.000006, -0.000011 ,0.000028
3.817992, 0.000005, -0.000010 ,0.000028
3.817633, 0.000005, -0.000010 ,0.000028
3.817277, 0.000005, -0.000009 ,0.000028
3.816926, 0.000004, -0.000009 ,0.000028
3.816578, 0.000004, -0.000008 ,0.000028
3.816235, 0.000004, -0.000007 ,0.000028
3.815894, 0.000003, -0.000007 ,0.000028
3.815558, 0.000003, -0.000006 ,0.000028
3.815227, 0.000003, -0.000006 ,0.000028
3.814898, 0.000002, -0.000005 ,0.000028
3.814574, 0.000002, -0.000005 ,0.000028
3.814254, 0.000002, -0.000004 ,0.000028
3.813937, 0.000002, -0.000004 ,0.000028
3.813625, 0.000001, -0.000003 ,0.000028
3.813317, 0.000001, -0.000003 ,0.000028
3.813012, 0.000001, -0.000002 ,0.000028
3.812712, 0.000000, -0.000001 ,0.000028
3.812415, 0.000000, -0.000001 ,0.000028
3.812123, -0.000000, -0.000000 ,0.000028
3.811834, -0.000001, 0.000000 ,0.000028
3.811549, -0.000001, 0.000001 ,0.000028
3.811269, -0.000001, 0.000001 ,0.000028
3.810992, -0.000002, 0.000002 ,0.000028
3.810719, -0.000002, 0.000002 ,0.000028
3.810451, -0.000002, 0.000003 ,0.000028
3.810186, -0.000002, 0.000004 ,0.000028
3.809925, -0.000003, 0.000004 ,0.000028
3.809668, -0.000003, 0.000005 ,0.000028
3.809415, -0.000003, 0.000005 ,0.000028
3.809167, -0.000004, 0.000006 ,0.000028
3.808922, -0.000004, 0.000006 ,0.000028
3.808681, -0.000004, 0.000007 ,0.000028
3.808444, -0.000005, 0.000007 ,0.000028
3.808211, -0.000005, 0.000008 ,0.000028
3.807982, -0.000005, 0.000009 ,0.000028
3.807757, -0.000006, 0.000009 ,0.000028
3.807536, -0.000006, 0.000010 ,0.000028
3.807319, -0.000006, 0.000010 ,0.000028
3.807106, -0.000007, 0.000011 ,0.000028
3.806897, -0.000007, 0.000011 ,0.000028
3.806692, -0.000007, 0.000012 ,0.000028
3.806491, -0.000007, 0.000013 ,0.000028
3.806294, -0.000008, 0.000013 ,0.000028
3.806101, -0.000008, 0.000014 ,0.000028
3.805911, -0.000008, 0.000014 ,0.000028
3.805726, -0.000009, 0.000015 ,0.000028
3.805545, -0.000009, 0.000015 ,0.000028
3.805367, -0.000009, 0.000016 ,0.000028
3.805194, -0.000010, 0.000016 ,0.000028
3.805025, -0.000010, 0.000017 ,0.000028
3.804859, -0.000010, 0.000018 ,0.000028
3.804698, -0.000011, 0.000018 ,0.000027
3.804540, -0.000011, 0.000019 ,0.000027
3.804387, -0.000011, 0.000019 ,0.000027
3.804237, -0.000011, 0.000020 ,0.000027
3.804091, -0.000012, 0.000020 ,0.000027
3.803949, -0.000012, 0.000021 ,0.000027
3.803811, -0.000012, 0.000021 ,0.000027
3.803677, -0.000013, 0.000022 ,0.000027
3.803547, -0.000013, 0.000023 ,0.000027
3.803421, -0.000013, 0.000023 ,0.000027
3.803299, -0.000014, 0.000024 ,0.000027
3.803180, -0.000014, 0.000024 ,0.000027
3.803066, -0.000014, 0.000025 ,0.000027
3.802955, -0.000015, 0.000025 ,0.000027
3.802848, -0.000015, 0.000026 ,0.000027
3.802745, -0.000015, 0.000026 ,0.000027
3.802646, -0.000016, 0.000027 ,0.000027
3.802552, -0.000016, 0.000028 ,0.000026
3.802460, -0.000016, 0.000028 ,0.000026
3.802373, -0.000016, 0.000029 ,0.000026
3.802289, -0.000017, 0.000029 ,0.000026
3.802209, -0.000017, 0.000030 ,0.000026
3.802133, -0.000017, 0.000030 ,0.000026
3.802061, -0.000018, 0.000031 ,0.000026
3.801993, -0.000018, 0.000031 ,0.000026
3.801928, -0.000018, 0.000032 ,0.000026
3.801868, -0.000019, 0.000033 ,0.000026
3.801811, -0.000019, 0.000033 ,0.000026
3.801758, -0.000019, 0.000034 ,0.000026
3.801708, -0.000019, 0.000034 ,0.000025
3.801663, -0.000020, 0.000035 ,0.000025
3.801621, -0.000020, 0.000035 ,0.000025
3.801583, -0.000020, 0.000036 ,0.000025
3.801548, -0.000021, 0.000036 ,0.000025
3.801518, -0.000021, 0.000037 ,0.000025
3.801491, -0.000021, 0.000038 ,0.000025
3.801467, -0.000022, 0.000038 ,0.000025
3.801448, -0.000022, 0.000039 ,0.000025
3.801432, -0.000022, 0.000039 ,0.000025
3.801420, -0.000023, 0.000040 ,0.000024
3.801412, -0.000023, 0.000040 ,0.000024
3.801407, -0.000023, 0.000041 ,0.000024
3.801405, -0.000023, 0.000041 ,0.000024
3.801408, -0.000024, 0.000042 ,0.000024
3.801414, -0.000024, 0.000043 ,0.000024
3.801424, -0.000024, 0.000043 ,0.000024
3.801437, -0.000025, 0.000044 ,0.000024
3.801454, -0.000025, 0.000044 ,0.000024
3.801474, -0.000025, 0.000045 ,0.000023
3.801498, -0.000026, 0.000045 ,0.000023
3.801526, -0.000026, 0.000046 ,0.000023
3.801557, -0.000026, 0.000046 ,0.000023
3.801592, -0.000026, 0.000047 ,0.000023
3.801630, -0.000027, 0.000047 ,0.000023
3.801672, -0.000027, 0.000048 ,0.000023
3.801717, -0.000027, 0.000049 ,0.000023
3.801766, -0.000028, 0.000049 ,0.000023
3.801818, -0.000028, 0.000050 ,0.000022
3.801873, -0.000028, 0.000050 ,0.000022
3.801932, -0.000028, 0.000051 ,0.000022
3.801995, -0.000029, 0.000051 ,0.000022
3.802061, -0.000029, 0.000052 ,0.000022
3.802130, -0.000029, 0.000052 ,0.000022
3.802202, -0.000030, 0.000053 ,0.000022
3.802278, -0.000030, 0.000053 ,0.000022
3.802358, -0.000030, 0.000054 ,0.000021
3.802440, -0.000031, 0.000054 ,0.000021
3.802527, -0.000031, 0.000055 ,0.000021
3.802616, -0.000031, 0.000056 ,0.000021
3.802709, -0.000031, 0.000056 ,0.000021
3.802804, -0.000032, 0.000057 ,0.000021
3.802904, -0.000032, 0.000057 ,0.000021
3.803006, -0.000032, 0.000058 ,0.000020
3.803112, -0.000033, 0.000058 ,0.000020
3.803221, -0.000033, 0.000059 ,0.000020
3.803334, -0.000033, 0.000059 ,0.000020
3.803449, -0.000033, 0.000060 ,0.000020
3.803567, -0.000034, 0.000060 ,0.000020
3.803689, -0.000034, 0.000061 ,0.000020
3.803814, -0.000034, 0.000061 ,0.000019
3.803942, -0.000035, 0.000062 ,0.000019
3.804073, -0.000035, 0.000062 ,0.000019
3.804207, -0.000035, 0.000063 ,0.000019
3.804345, -0.000035, 0.000063 ,0.000019
3.804485, -0.000036, 0.000064 ,0.000019
3.804628, -0.000036, 0.000065 ,0.000018
3.804774, -0.000036, 0.000065 ,0.000018
3.804924, -0.000037, 0.000066 ,0.000018
3.805076, -0.000037, 0.000066 ,0.000018
3.805232, -0.000037, 0.000067 ,0.000018
3.805390, -0.000037, 0.000067 ,0.000018
3.805551, -0.000038, 0.000068 ,0.000018
3.805716, -0.000038, 0.000068 ,0.000017
3.805882, -0.000038, 0.000069 ,0.000017
3.806052, -0.000038, 0.000069 ,0.000017
3.806226, -0.000039, 0.000070 ,0.000017
3.806401, -0.000039, 0.000070 ,0.000017
3.806580, -0.000039, 0.000071 ,0.000017
3.806761, -0.000040, 0.000071 ,0.000016
3.806945, -0.000040, 0.000072 ,0.000016
3.807132, -0.000040, 0.000072 ,0.000016
3.807322, -0.000040, 0.000073 ,0.000016
3.807514, -0.000041, 0.000073 ,0.000016
3.807709, -0.000041, 0.000074 ,0.000016
3.807907, -0.000041, 0.000074 ,0.000015
3.808108, -0.000041, 0.000075 ,0.000015
3.808311, -0.000042, 0.000075 ,0.000015
3.808517, -0.000042, 0.000076 ,0.000015
3.808725, -0.000042, 0.000076 ,0.000015
3.808936, -0.000043, 0.000077 ,0.000014
3.809150, -0.000043, 0.000077 ,0.000014
3.809366, -0.000043, 0.000078 ,0.000014
3.809585, -0.000043, 0.000078 ,0.000014
3.809806, -0.000044, 0.000079 ,0.000014
3.810030, -0.000044, 0.000079 ,0.000014
3.810256, -0.000044, 0.000080 ,0.000013
3.810484, -0.000044, 0.000080 ,0.000013
3.810715, -0.000045, 0.000081 ,0.000013
3.810949, -0.000045, 0.000081 ,0.000013
3.811185, -0.000045, 0.000082 ,0.000013
3.811423, -0.000045, 0.000082 ,0.000012
3.811664, -0.000046, 0.000083 ,0.000012
3.811907, -0.000046, 0.000083 ,0.000012
3.812152, -0.000046, 0.000084 ,0.000012
3.812399, -0.000046, 0.000084 ,0.000012
3.812649, -0.000047, 0.000085 ,0.000012
3.812901, -0.000047, 0.000085 ,0.000011
3.813155, -0.000047, 0.000086 ,0.000011
3.813412, -0.000048, 0.000086 ,0.000011
3.813670, -0.000048, 0.000087 ,0.000011
3.813931, -0.000048, 0.000087 ,0.000011
3.814194, -0.000048, 0.000088 ,0.000010
3.814459, -0.000049, 0.000088 ,0.000010
3.814726, -0.000049, 0.000089 ,0.000010
3.814995, -0.000049, 0.000089 ,0.000010
3.815266, -0.000049, 0.000090 ,0.000010
3.815540, -0.000050, 0.000090 ,0.000009
3.815815, -0.000050, 0.000091 ,0.000009
3.816092, -0.000050, 0.000091 ,0.000009
3.816371, -0.000050, 0.000092 ,0.000009
3.816652, -0.000051, 0.000092 ,0.000009
3.816935, -0.000051, 0.000093 ,0.000008
3.817220, -0.000051, 0.000093 ,0.000008
3.817507, -0.000051, 0.000094 ,0.000008
3.817795, -0.000052, 0.000094 ,0.000008
3.818085, -0.000052, 0.000094 ,0.000008
3.818377, -0.000052, 0.000095 ,0.000007
3.818671, -0.000052, 0.000095 ,0.000007
3.818967, -0.000052, 0.000096 ,0.000007
3.819264, -0.000053, 0.000096 ,0.000007
3.819563, -0.000053, 0.000097 ,0.000007
3.819864, -0.000053, 0.000097 ,0.000006
3.820166, -0.000053, 0.000098 ,0.000006
3.820470, -0.000054, 0.000098 ,0.000006
3.820775, -0.000054, 0.000099 ,0.000006
3.821082, -0.000054, 0.000099 ,0.000006
3.821391, -0.000054, 0.000100 ,0.000005
3.821701, -0.000055, 0.000100 ,0.000005
3.822013, -0.000055, 0.000101 ,0.000005
3.822325, -0.000055, 0.000101 ,0.000005
3.822640, -0.000055, 0.000101 ,0.000005
3.822956, -0.000056, 0.000102 ,0.000004
3.823273, -0.000056, 0.000102 ,0.000004
3.823592, -0.000056, 0.000103 ,0.000004
3.823912, -0.000056, 0.000103 ,0.000004
3.824234, -0.000057, 0.000104 ,0.000004
3.824556, -0.000057, 0.000104 ,0.000003
3.824880, -0.000057, 0.000105 ,0.000003
3.825205, -0.000057, 0.000105 ,0.000003
3.825531, -0.000057, 0.000106 ,0.000003
3.825859, -0.000058, 0.000106 ,0.000003
3.826187, -0.000058, 0.000107 ,0.000002
3.826518, -0.000058, 0.000107 ,0.000002
3.826849, -0.000058, 0.000107 ,0.000002
3.827181, -0.000059, 0.000108 ,0.000002
3.827514, -0.000059, 0.000108 ,0.000001
3.827848, -0.000059, 0.000109 ,0.000001
3.828183, -0.000059, 0.000109 ,0.000001
3.828519, -0.000060, 0.000110 ,0.000001
3.828856, -0.000060, 0.000110 ,0.000001
3.829194, -0.000060, 0.000111 ,0.000000
3.829533, -0.000060, 0.000111 ,0.000000
3.829873, -0.000060, 0.000111 ,-0.000000
3.830214, -0.000061, 0.000112 ,-0.000000
3.830555, -0.000061, 0.000112 ,-0.000000
3.830898, -0.000061, 0.000113 ,-0.000001
3.831241, -0.000061, 0.000113 ,-0.000001
3.831585, -0.000062, 0.000114 ,-0.000001
3.831929, -0.000062, 0.000114 ,-0.000001
3.832275, -0.000062, 0.000115 ,-0.000002
3.832621, -0.000062, 0.000115 ,-0.000002
3.832968, -0.000062, 0.000115 ,-0.000002
3.833314, -0.000063, 0.000116 ,-0.000002
3.833663, -0.000063, 0.000116 ,-0.000002
3.834011, -0.000063, 0.000117 ,-0.000003
3.834360, -0.000063, 0.000117 ,-0.000003
3.834709, -0.000063, 0.000118 ,-0.000003
3.835059, -0.000064, 0.000118 ,-0.000003
3.835409, -0.000064, 0.000118 ,-0.000003
3.835760, -0.000064, 0.000119 ,-0.000004
3.836112, -0.000064, 0.000119 ,-0.000004
3.836463, -0.000065, 0.000120 ,-0.000004
3.836815, -0.000065, 0.000120 ,-0.000004
3.837168, -0.000065, 0.000121 ,-0.000005
3.837520, -0.000065, 0.000121 ,-0.000005
3.837873, -0.000065, 0.000121 ,-0.000005
3.838227, -0.000066, 0.000122 ,-0.000005
3.838580, -0.000066, 0.000122 ,-0.000005
3.838933, -0.000066, 0.000123 ,-0.000006
3.839287, -0.000066, 0.000123 ,-0.000006
3.839641, -0.000066, 0.000124 ,-0.000006
3.839995, -0.000067, 0.000124 ,-0.000006
3.840349, -0.000067, 0.000124 ,-0.000006
3.840703, -0.000067, 0.000125 ,-0.000007
3.841057, -0.000067, 0.000125 ,-0.000007
3.841411, -0.000068, 0.000126 ,-0.000007
3.841766, -0.000068, 0.000126 ,-0.000007
3.842120, -0.000068, 0.000127 ,-0.000008
3.842474, -0.000068, 0.000127 ,-0.000008
3.842828, -0.000068, 0.000127 ,-0.000008
3.843182, -0.000069, 0.000128 ,-0.000008
3.843535, -0.000069, 0.000128 ,-0.000008
3.843889, -0.000069, 0.000129 ,-0.000009
3.844242, -0.000069, 0.000129 ,-0.000009
3.844595, -0.000069, 0.000129 ,-0.000009
3.844948, -0.000070, 0.000130 ,-0.000009
3.845300, -0.000070, 0.000130 ,-0.000009
3.845653, -0.000070, 0.000131 ,-0.000010
3.846005, -0.000070, 0.000131 ,-0.000010
3.846356, -0.000070, 0.000132 ,-0.000010
3.846707, -0.000071, 0.000132 ,-0.000010
3.847058, -0.000071, 0.000132 ,-0.000011
3.847408, -0.000071, 0.000133 ,-0.000011
3.847758, -0.000071, 0.000133 ,-0.000011
3.848107, -0.000071, 0.000134 ,-0.000011
3.848456, -0.000072, 0.000134 ,-0.000011
3.848804, -0.000072, 0.000134 ,-0.000012
3.849152, -0.000072, 0.000135 ,-0.000012
3.849499, -0.000072, 0.000135 ,-0.000012
3.849845, -0.000072, 0.000136 ,-0.000012
3.850191, -0.000073, 0.000136 ,-0.000012
3.850536, -0.000073, 0.000137 ,-0.000013
3.850880, -0.000073, 0.000137 ,-0.000013
3.851224, -0.000073, 0.000137 ,-0.000013
3.851566, -0.000073, 0.000138 ,-0.000013
3.851909, -0.000074, 0.000138 ,-0.000013
3.852250, -0.000074, 0.000139 ,-0.000014
3.852590, -0.000074, 0.000139 ,-0.000014
3.852930, -0.000074, 0.000139 ,-0.000014
3.853268, -0.000074, 0.000140 ,-0.000014
3.853606, -0.000075, 0.000140 ,-0.000014
3.853942, -0.000075, 0.000141 ,-0.000015
3.854278, -0.000075, 0.000141 ,-0.000015
3.854613, -0.000075, 0.000141 ,-0.000015
3.854947, -0.000075, 0.000142 ,-0.000015
3.855280, -0.000076, 0.000142 ,-0.000016
3.855611, -0.000076, 0.000143 ,-0.000016
3.855941, -0.000076, 0.000143 ,-0.000016
3.856271, -0.000076, 0.000143 ,-0.000016
3.856599, -0.000076, 0.000144 ,-0.000016
3.856926, -0.000077, 0.000144 ,-0.000017
3.857252, -0.000077, 0.000145 ,-0.000017
3.857576, -0.000077, 0.000145 ,-0.000017
3.857899, -0.000077, 0.000145 ,-0.000017
3.858222, -0.000077, 0.000146 ,-0.000017
3.858542, -0.000078, 0.000146 ,-0.000018
3.858861, -0.000078, 0.000147 ,-0.000018
3.859179, -0.000078, 0.000147 ,-0.000018
3.859496, -0.000078, 0.000147 ,-0.000018
3.859811, -0.000078, 0.000148 ,-0.000018
3.860125, -0.000078, 0.000148 ,-0.000019
3.860437, -0.000079, 0.000149 ,-0.000019
3.860748, -0.000079, 0.000149 ,-0.000019
3.861057, -0.000079, 0.000149 ,-0.000019
3.861365, -0.000079, 0.000150 ,-0.000019
3.861670, -0.000079, 0.000150 ,-0.000020
3.861975, -0.000080, 0.000151 ,-0.000020
3.862279, -0.000080, 0.000151 ,-0.000020
3.862580, -0.000080, 0.000151 ,-0.000020
3.862879, -0.000080, 0.000152 ,-0.000020
3.863177, -0.000080, 0.000152 ,-0.000020
3.863474, -0.000081, 0.000153 ,-0.000021
3.863768, -0.000081, 0.000153 ,-0.000021
3.864061, -0.000081, 0.000153 ,-0.000021
3.864352, -0.000081, 0.000154 ,-0.000021
3.864641, -0.000081, 0.000154 ,-0.000021
3.864928, -0.000082, 0.000155 ,-0.000022
3.865213, -0.000082, 0.000155 ,-0.000022
3.865497, -0.000082, 0.000155 ,-0.000022
3.865778, -0.000082, 0.000156 ,-0.000022
3.866058, -0.000082, 0.000156 ,-0.000022
3.866336, -0.000083, 0.000157 ,-0.000023
3.866612, -0.000083, 0.000157 ,-0.000023
3.866885, -0.000083, 0.000157 ,-0.000023
3.867157, -0.000083, 0.000158 ,-0.000023
3.867427, -0.000083, 0.000158 ,-0.000023
3.867695, -0.000084, 0.000159 ,-0.000023
3.867960, -0.000084, 0.000159 ,-0.000024
3.868223, -0.000084, 0.000159 ,-0.000024
3.868484, -0.000084, 0.000160 ,-0.000024
3.868743, -0.000084, 0.000160 ,-0.000024
3.869000, -0.000085, 0.000161 ,-0.000024
3.869255, -0.000085, 0.000161 ,-0.000025
3.869508, -0.000085, 0.000161 ,-0.000025
3.869758, -0.000085, 0.000162 ,-0.000025
3.870005, -0.000085, 0.000162 ,-0.000025
3.870251, -0.000086, 0.000163 ,-0.000025
3.870494, -0.000086, 0.000163 ,-0.000025
3.870735, -0.000086, 0.000164 ,-0.000026
3.870974, -0.000086, 0.000164 ,-0.000026
3.871210, -0.000086, 0.000164 ,-0.000026
3.871444, -0.000087, 0.000165 ,-0.000026
3.871675, -0.000087, 0.000165 ,-0.000026
3.871905, -0.000087, 0.000166 ,-0.000026
3.872131, -0.000087, 0.000166 ,-0.000027
3.872355, -0.000087, 0.000166 ,-0.000027
3.872576, -0.000088, 0.000167 ,-0.000027
3.872795, -0.000088, 0.000167 ,-0.000027
3.873011, -0.000088, 0.000168 ,-0.000027
3.873225, -0.000088, 0.000168 ,-0.000027
3.873436, -0.000088, 0.000168 ,-0.000028
3.873645, -0.000089, 0.000169 ,-0.000028
3.873851, -0.000089, 0.000169 ,-0.000028
3.874054, -0.000089, 0.000170 ,-0.000028
3.874254, -0.000089, 0.000170 ,-0.000028
3.874452, -0.000089, 0.000170 ,-0.000028
3.874648, -0.000090, 0.000171 ,-0.000029
3.874840, -0.000090, 0.000171 ,-0.000029
3.875029, -0.000090, 0.000172 ,-0.000029
3.875216, -0.000090, 0.000172 ,-0.000029
3.875400, -0.000090, 0.000172 ,-0.000029
3.875582, -0.000091, 0.000173 ,-0.000029
3.875760, -0.000091, 0.000173 ,-0.000029
3.875935, -0.000091, 0.000174 ,-0.000030
3.876108, -0.000091, 0.000174 ,-0.000030
