Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
3.959058, 0.000155, -0.000294 ,-0.000009
3.960188, 0.000155, -0.000293 ,-0.000009
3.961315, 0.000154, -0.000292 ,-0.000010
3.962438, 0.000154, -0.000291 ,-0.000010
3.963557, 0.000154, -0.000290 ,-0.000010
3.964674, 0.000153, -0.000289 ,-0.000011
3.965786, 0.000153, -0.000289 ,-0.000011
3.966895, 0.000152, -0.000288 ,-0.000012
3.967999, 0.000152, -0.000287 ,-0.000012
3.969101, 0.000151, -0.000286 ,-0.000013
3.970198, 0.000151, -0.000285 ,-0.000013
3.971291, 0.000150, -0.000285 ,-0.000013
3.972380, 0.000150, -0.000284 ,-0.000014
3.973466, 0.000150, -0.000283 ,-0.000014
3.974547, 0.000149, -0.000282 ,-0.000014
3.975624, 0.000149, -0.000281 ,-0.000015
3.976696, 0.000148, -0.000280 ,-0.000015
3.977765, 0.000148, -0.000280 ,-0.000016
3.978829, 0.000147, -0.000279 ,-0.000016
3.979888, 0.000147, -0.000278 ,-0.000016
3.980944, 0.000147, -0.000277 ,-0.000017
3.981995, 0.000146, -0.000276 ,-0.000017
3.983041, 0.000146, -0.000276 ,-0.000017
3.984083, 0.000145, -0.000275 ,-0.000018
3.985120, 0.000145, -0.000274 ,-0.000018
3.986152, 0.000144, -0.000273 ,-0.000018
3.987179, 0.000144, -0.000273 ,-0.000019
3.988202, 0.000144, -0.000272 ,-0.000019
3.989221, 0.000143, -0.000271 ,-0.000019
3.990234, 0.000143, -0.000270 ,-0.000020
3.991242, 0.000142, -0.000269 ,-0.000020
3.992245, 0.000142, -0.000269 ,-0.000020
3.993244, 0.000141, -0.000268 ,-0.000020
3.994237, 0.000141, -0.000267 ,-0.000021
3.995225, 0.000141, -0.000266 ,-0.000021
3.996208, 0.000140, -0.000266 ,-0.000021
3.997186, 0.000140, -0.000265 ,-0.000022
3.998159, 0.000139, -0.000264 ,-0.000022
3.999126, 0.000139, -0.000263 ,-0.000022
4.000088, 0.000138, -0.000263 ,-0.000022
4.001045, 0.000138, -0.000262 ,-0.000023
4.001997, 0.000138, -0.000261 ,-0.000023
4.002942, 0.000137, -0.000260 ,-0.000023
4.003882, 0.000137, -0.000260 ,-0.000023
4.004818, 0.000136, -0.000259 ,-0.000024
4.005747, 0.000136, -0.000258 ,-0.000024
4.006671, 0.000136, -0.000257 ,-0.000024
4.007590, 0.000135, -0.000257 ,-0.000024
4.008503, 0.000135, -0.000256 ,-0.000025
4.009410, 0.000134, -0.000255 ,-0.000025
4.010312, 0.000134, -0.000254 ,-0.000025
4.011208, 0.000134, -0.000254 ,-0.000025
4.012097, 0.000133, -0.000253 ,-0.000025
4.012981, 0.000133, -0.000252 ,-0.000026
4.013860, 0.000132, -0.000252 ,-0.000026
4.014732, 0.000132, -0.000251 ,-0.000026
4.015599, 0.000132, -0.000250 ,-0.000026
4.016460, 0.000131, -0.000249 ,-0.000026
4.017315, 0.000131, -0.000249 ,-0.000027
4.018163, 0.000130, -0.000248 ,-0.000027
4.019007, 0.000130, -0.000247 ,-0.000027
4.019844, 0.000130, -0.000247 ,-0.000027
4.020674, 0.000129, -0.000246 ,-0.000027
4.021499, 0.000129, -0.000245 ,-0.000027
4.022317, 0.000129, -0.000244 ,-0.000028
4.023130, 0.000128, -0.000244 ,-0.000028
4.023937, 0.000128, -0.000243 ,-0.000028
4.024736, 0.000127, -0.000242 ,-0.000028
4.025530, 0.000127, -0.000242 ,-0.000028
4.026318, 0.000127, -0.000241 ,-0.000028
4.027100, 0.000126, -0.000240 ,-0.000029
4.027875, 0.000126, -0.000240 ,-0.000029
4.028644, 0.000126, -0.000239 ,-0.000029
4.029406, 0.000125, -0.000238 ,-0.000029
4.030162, 0.000125, -0.000238 ,-0.000029
4.030912, 0.000124, -0.000237 ,-0.000029
4.031656, 0.000124, -0.000236 ,-0.000029
4.032393, 0.000124, -0.000236 ,-0.000030
4.033123, 0.000123, -0.000235 ,-0.000030
4.033848, 0.000123, -0.000234 ,-0.000030
4.034566, 0.000123, -0.000234 ,-0.000030
